gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,PreviousGrade,ExtracurricularActivities,LearningStyle,PersonalityType,MotivationLevel,ComputerUsage,InternetAccess,Friendships,PeerInfluence,ParentalEducation,ParentTeacherMeetings,PhysicalActivity,SleepDuration,AttitudeTowardsSubjects,BehavioralIssues,raisedhands,VisITedResources,AnnouncementsView,Discussion
M,cn,India,lowerlevel,G-06,A,IT,S,Mother,Yes,Bad,Above-7,M,B,Yes,Visual,Extrovert,Low,Medium,Yes,Many,Neutral,Master,No,Inactive,Insufficient,Positive,Yes,28,28,9,6
M,uk,USA,lowerlevel,G-06,D,Math,S,Father,Yes,Good,Under-7,H,A,Yes,Visual,Introvert,Low,Low,No,None,Neutral,Master,Yes,Inactive,Adequate,Neutral,No,90,48,15,10
M,fr,France,middlelevel,G-07,C,IT,S,Father,No,Good,Under-7,L,B,No,Auditory,Introvert,Medium,Medium,Yes,None,Negative,PhD,No,Active,Insufficient,Positive,No,63,32,11,2
M,saudi,China,highlevel,G-06,B,Science,F,Mother,No,Good,Above-7,L,C,No,Kinesthetic,Extrovert,Medium,Low,No,None,Negative,Bachelor,Yes,Active,Insufficient,Positive,Yes,61,0,5,28
M,ind,UK,highlevel,G-06,D,Science,S,Mother,Yes,Bad,Under-7,L,C,Yes,Kinesthetic,Introvert,Low,Low,Yes,Many,Negative,Master,Yes,Active,Adequate,Negative,No,19,55,0,6
M,us,India,lowerlevel,G-05,D,Science,S,Guardian,No,Good,Above-7,M,A,Yes,Auditory,Introvert,High,High,No,Many,Negative,Bachelor,Yes,Moderate,Adequate,Negative,No,5,88,2,2
M,us,France,lowerlevel,G-06,C,Math,S,Mother,Yes,Bad,Under-7,H,B,Yes,Auditory,Introvert,Medium,Medium,No,Some,Positive,PhD,Yes,Moderate,Adequate,Positive,Yes,27,5,4,42
F,cn,France,highlevel,G-05,B,IT,F,Mother,No,Bad,Above-7,H,B,Yes,Visual,Introvert,Medium,High,No,None,Negative,Master,No,Inactive,Insufficient,Neutral,No,92,86,8,32
M,saudi,France,lowerlevel,G-04,C,IT,S,Father,No,Good,Under-7,M,D,Yes,Kinesthetic,Extrovert,High,Low,No,None,Negative,Bachelor,No,Active,Adequate,Neutral,Yes,50,55,19,33
F,cn,France,highlevel,G-04,C,Science,F,Guardian,Yes,Bad,Above-7,L,C,No,Auditory,Introvert,Low,High,Yes,Some,Neutral,Bachelor,No,Inactive,Adequate,Negative,No,22,29,18,50
F,cn,USA,middlelevel,G-05,E,Math,S,Father,Yes,Good,Under-7,H,E,No,Auditory,Extrovert,Medium,High,Yes,Many,Positive,Bachelor,Yes,Active,Insufficient,Negative,Yes,44,65,0,11
M,uk,China,preschool,G-04,D,Science,S,Guardian,Yes,Bad,Above-7,M,A,Yes,Auditory,Extrovert,Low,Low,No,Many,Neutral,HighSchool,Yes,Moderate,Insufficient,Negative,Yes,4,19,1,50
M,uk,USA,lowerlevel,G-06,C,IT,F,Guardian,Yes,Bad,Under-7,H,A,Yes,Kinesthetic,Extrovert,Low,Medium,No,None,Neutral,PhD,Yes,Moderate,Insufficient,Positive,No,38,44,0,3
M,fr,USA,middlelevel,G-04,C,History,S,Father,No,Bad,Under-7,H,D,Yes,Auditory,Introvert,Medium,Low,Yes,Many,Positive,HighSchool,Yes,Inactive,Insufficient,Positive,No,63,92,10,35
F,ind,USA,middlelevel,G-04,E,IT,S,Guardian,Yes,Good,Under-7,M,C,Yes,Visual,Introvert,Medium,Low,No,Some,Negative,Bachelor,Yes,Moderate,Adequate,Positive,No,77,89,11,5
F,ind,USA,preschool,G-04,C,IT,S,Guardian,Yes,Good,Under-7,M,A,No,Kinesthetic,Introvert,High,High,Yes,Some,Negative,Master,No,Moderate,Insufficient,Negative,Yes,55,65,15,24
M,ind,Saudi Arabia,middlelevel,G-05,D,History,S,Guardian,No,Bad,Under-7,H,B,Yes,Visual,Extrovert,Medium,High,No,Some,Negative,Master,Yes,Active,Insufficient,Neutral,Yes,45,11,7,29
F,saudi,UK,preschool,G-06,C,English,F,Guardian,No,Bad,Under-7,M,B,No,Kinesthetic,Introvert,Low,Low,Yes,Many,Positive,HighSchool,Yes,Moderate,Insufficient,Neutral,Yes,39,60,18,25
F,cn,China,middlelevel,G-05,A,IT,F,Father,No,Bad,Above-7,M,D,No,Visual,Extrovert,High,Medium,No,None,Positive,HighSchool,Yes,Inactive,Insufficient,Neutral,Yes,44,94,1,20
F,fr,India,highlevel,G-04,B,IT,F,Guardian,Yes,Bad,Above-7,M,D,No,Kinesthetic,Introvert,Low,Low,Yes,Some,Negative,HighSchool,No,Active,Adequate,Neutral,No,30,23,9,27
F,cn,India,preschool,G-04,E,IT,S,Guardian,Yes,Good,Under-7,M,D,No,Kinesthetic,Introvert,High,Low,No,Many,Neutral,HighSchool,No,Inactive,Adequate,Negative,No,31,91,20,26
M,cn,USA,lowerlevel,G-05,C,Science,F,Guardian,Yes,Good,Under-7,H,E,Yes,Auditory,Introvert,Medium,Low,No,Some,Positive,PhD,Yes,Moderate,Insufficient,Negative,No,82,31,20,40
M,fr,Saudi Arabia,preschool,G-05,C,IT,S,Father,Yes,Good,Under-7,H,E,Yes,Auditory,Introvert,High,High,Yes,Some,Neutral,PhD,No,Active,Insufficient,Positive,Yes,61,37,4,46
F,ind,India,lowerlevel,G-05,C,History,S,Mother,No,Bad,Above-7,L,A,Yes,Kinesthetic,Extrovert,Low,Low,No,None,Neutral,Master,Yes,Moderate,Insufficient,Positive,No,33,24,8,38
M,fr,Saudi Arabia,highlevel,G-04,A,Math,F,Mother,Yes,Good,Under-7,H,E,Yes,Kinesthetic,Extrovert,Low,Low,Yes,Some,Neutral,HighSchool,No,Inactive,Insufficient,Negative,No,71,24,16,36
M,cn,UK,highlevel,G-04,E,English,S,Guardian,No,Bad,Under-7,H,E,Yes,Visual,Introvert,High,Low,Yes,None,Positive,PhD,Yes,Moderate,Adequate,Neutral,Yes,21,51,5,32
F,uk,India,highlevel,G-06,E,Math,F,Mother,Yes,Bad,Under-7,H,A,Yes,Kinesthetic,Extrovert,Medium,Medium,Yes,None,Neutral,Bachelor,No,Moderate,Adequate,Negative,No,15,100,9,49
M,us,France,lowerlevel,G-07,E,English,S,Father,No,Bad,Above-7,L,B,No,Visual,Extrovert,Low,Low,Yes,Some,Neutral,PhD,No,Moderate,Adequate,Positive,Yes,42,69,14,31
M,ind,India,highlevel,G-06,B,Science,F,Guardian,Yes,Bad,Under-7,M,C,No,Visual,Introvert,High,Low,No,Many,Neutral,Bachelor,No,Active,Adequate,Neutral,No,2,54,2,37
M,ind,India,lowerlevel,G-07,A,History,F,Father,No,Bad,Under-7,H,A,No,Kinesthetic,Introvert,Medium,Medium,Yes,Some,Negative,PhD,Yes,Active,Insufficient,Neutral,Yes,0,99,11,18
F,uk,India,highlevel,G-05,C,Math,F,Father,Yes,Good,Under-7,L,E,Yes,Kinesthetic,Introvert,Low,High,No,Many,Positive,Master,Yes,Active,Insufficient,Positive,Yes,49,68,6,9
F,us,India,middlelevel,G-06,D,Math,F,Mother,Yes,Good,Under-7,M,A,No,Kinesthetic,Extrovert,High,High,No,Some,Negative,PhD,Yes,Active,Adequate,Negative,Yes,70,66,8,10
F,fr,UK,highlevel,G-05,D,Math,F,Guardian,Yes,Good,Under-7,H,D,No,Visual,Extrovert,High,Low,Yes,Many,Neutral,Master,Yes,Moderate,Adequate,Neutral,No,89,97,18,40
F,uk,USA,preschool,G-06,C,English,F,Mother,No,Bad,Above-7,M,D,No,Visual,Introvert,High,High,Yes,Some,Positive,Master,No,Moderate,Insufficient,Negative,Yes,33,3,15,9
M,cn,UK,middlelevel,G-06,A,History,F,Father,Yes,Bad,Under-7,M,B,No,Auditory,Introvert,Low,Medium,Yes,Many,Negative,Bachelor,Yes,Active,Insufficient,Neutral,Yes,43,42,15,34
M,ind,UK,lowerlevel,G-04,C,English,F,Guardian,Yes,Bad,Under-7,L,C,No,Kinesthetic,Extrovert,Low,Medium,Yes,None,Neutral,Master,No,Active,Adequate,Negative,Yes,22,17,16,32
M,fr,USA,highlevel,G-06,A,IT,F,Mother,Yes,Bad,Above-7,M,C,Yes,Visual,Introvert,Low,Low,No,Some,Neutral,PhD,Yes,Active,Adequate,Positive,Yes,78,53,2,23
M,cn,USA,preschool,G-04,D,IT,S,Mother,No,Bad,Under-7,L,B,No,Kinesthetic,Extrovert,Medium,Low,No,None,Negative,Bachelor,No,Inactive,Insufficient,Negative,No,52,14,18,22
M,cn,France,lowerlevel,G-07,C,IT,F,Guardian,Yes,Good,Above-7,M,D,Yes,Auditory,Extrovert,Low,Medium,Yes,Many,Negative,HighSchool,Yes,Moderate,Insufficient,Negative,No,50,88,14,2
F,uk,India,highlevel,G-05,E,English,F,Mother,Yes,Bad,Above-7,M,C,Yes,Visual,Extrovert,Medium,High,Yes,Many,Positive,HighSchool,No,Inactive,Insufficient,Negative,Yes,12,44,6,2
M,ind,France,lowerlevel,G-04,D,IT,S,Guardian,No,Good,Above-7,M,A,No,Auditory,Introvert,Medium,Medium,Yes,Many,Positive,Master,No,Inactive,Adequate,Negative,No,96,84,4,9
F,uk,USA,preschool,G-04,C,Science,S,Father,Yes,Good,Above-7,M,E,Yes,Kinesthetic,Introvert,Low,Low,No,None,Negative,HighSchool,Yes,Moderate,Adequate,Neutral,No,35,93,11,27
M,saudi,France,middlelevel,G-06,D,English,S,Guardian,Yes,Good,Under-7,L,E,Yes,Visual,Extrovert,High,High,No,None,Positive,PhD,No,Moderate,Insufficient,Neutral,No,25,63,12,15
F,cn,Saudi Arabia,lowerlevel,G-07,E,Math,F,Guardian,No,Good,Under-7,H,E,Yes,Kinesthetic,Extrovert,Medium,High,Yes,Some,Negative,Master,No,Active,Adequate,Positive,Yes,71,72,13,32
F,us,UK,preschool,G-06,D,IT,F,Mother,Yes,Good,Under-7,M,E,Yes,Visual,Introvert,Medium,Low,No,Some,Neutral,HighSchool,Yes,Inactive,Adequate,Negative,Yes,46,31,13,14
M,cn,India,middlelevel,G-04,A,Science,S,Mother,No,Good,Above-7,H,C,Yes,Kinesthetic,Extrovert,High,Medium,No,Many,Negative,Master,No,Moderate,Adequate,Positive,No,15,5,10,28
F,ind,France,lowerlevel,G-04,C,Science,F,Father,No,Good,Under-7,M,D,No,Kinesthetic,Extrovert,Low,High,No,None,Neutral,Bachelor,Yes,Moderate,Adequate,Negative,No,24,21,8,10
F,cn,China,lowerlevel,G-06,B,History,F,Father,No,Good,Under-7,H,A,No,Visual,Extrovert,Low,Medium,Yes,Some,Positive,Master,No,Moderate,Insufficient,Negative,Yes,18,92,9,42
M,ind,China,lowerlevel,G-04,B,History,S,Father,Yes,Good,Above-7,H,C,Yes,Auditory,Extrovert,Medium,Medium,No,Some,Negative,PhD,Yes,Inactive,Insufficient,Neutral,No,52,28,13,48
M,cn,China,preschool,G-06,A,History,S,Mother,No,Good,Above-7,L,D,Yes,Kinesthetic,Extrovert,Low,Medium,Yes,None,Positive,HighSchool,No,Inactive,Adequate,Positive,Yes,49,95,3,12
M,fr,USA,preschool,G-07,B,History,S,Mother,No,Bad,Above-7,H,C,Yes,Kinesthetic,Introvert,High,High,No,Some,Neutral,Bachelor,No,Inactive,Insufficient,Positive,Yes,83,82,15,49
M,cn,UK,middlelevel,G-07,B,English,F,Father,No,Bad,Under-7,M,B,Yes,Auditory,Extrovert,High,Low,Yes,Some,Negative,Master,Yes,Active,Adequate,Neutral,No,72,84,15,46
F,cn,India,highlevel,G-05,D,English,S,Father,Yes,Good,Above-7,M,A,Yes,Visual,Extrovert,Low,Low,No,Many,Negative,PhD,No,Active,Adequate,Negative,No,6,56,9,13
M,cn,USA,middlelevel,G-05,D,IT,S,Mother,No,Good,Above-7,M,E,Yes,Kinesthetic,Introvert,Low,Medium,No,None,Positive,PhD,No,Inactive,Adequate,Neutral,Yes,63,87,9,14
M,saudi,Saudi Arabia,highlevel,G-06,D,English,F,Father,No,Good,Above-7,M,C,No,Auditory,Extrovert,Medium,High,Yes,Some,Neutral,HighSchool,Yes,Inactive,Adequate,Positive,No,99,36,12,7
M,us,India,middlelevel,G-07,A,Math,F,Father,No,Good,Above-7,L,E,No,Auditory,Extrovert,Medium,High,No,None,Negative,HighSchool,Yes,Inactive,Adequate,Negative,No,52,19,15,0
M,fr,USA,highlevel,G-07,A,English,F,Guardian,No,Good,Under-7,M,E,No,Kinesthetic,Introvert,Medium,Low,No,Some,Positive,HighSchool,Yes,Active,Adequate,Neutral,No,62,72,1,23
F,saudi,France,lowerlevel,G-07,C,IT,S,Mother,Yes,Good,Above-7,M,B,No,Visual,Extrovert,Medium,Low,No,None,Positive,Master,Yes,Active,Insufficient,Negative,No,53,38,2,11
F,uk,France,lowerlevel,G-04,B,Math,S,Mother,Yes,Good,Under-7,H,B,Yes,Auditory,Extrovert,Low,Low,Yes,Many,Positive,Bachelor,Yes,Inactive,Insufficient,Neutral,No,49,53,2,50
M,fr,Saudi Arabia,preschool,G-04,A,Math,S,Guardian,Yes,Bad,Under-7,H,D,Yes,Kinesthetic,Introvert,High,Medium,Yes,None,Neutral,HighSchool,Yes,Moderate,Adequate,Neutral,Yes,40,28,16,38
F,cn,France,preschool,G-07,E,IT,F,Father,No,Good,Under-7,L,D,Yes,Kinesthetic,Extrovert,High,Medium,No,Some,Positive,PhD,No,Moderate,Insufficient,Neutral,No,7,38,16,40
F,saudi,USA,preschool,G-07,A,IT,F,Father,No,Good,Under-7,H,B,No,Visual,Extrovert,High,High,Yes,None,Positive,Master,No,Active,Adequate,Positive,Yes,63,72,2,11
F,cn,USA,middlelevel,G-05,B,History,F,Mother,No,Good,Under-7,M,D,Yes,Visual,Introvert,Medium,High,Yes,Many,Positive,Bachelor,Yes,Active,Insufficient,Positive,No,36,73,18,1
F,fr,France,preschool,G-05,C,History,S,Mother,Yes,Good,Above-7,H,C,No,Auditory,Introvert,Medium,Low,No,Some,Negative,Master,No,Inactive,Adequate,Negative,No,22,34,13,50
F,saudi,UK,preschool,G-06,E,IT,F,Mother,No,Good,Above-7,L,B,Yes,Auditory,Introvert,Low,Low,Yes,None,Neutral,PhD,No,Moderate,Insufficient,Positive,No,83,49,18,9
F,uk,USA,middlelevel,G-07,E,History,S,Father,Yes,Bad,Above-7,L,B,No,Visual,Extrovert,Medium,Medium,No,None,Positive,Master,Yes,Inactive,Insufficient,Negative,No,22,22,4,47
F,cn,India,highlevel,G-05,A,IT,F,Father,No,Good,Under-7,L,A,Yes,Auditory,Introvert,High,Low,Yes,None,Neutral,Master,No,Moderate,Insufficient,Positive,No,54,41,6,25
F,fr,China,highlevel,G-05,E,Math,S,Mother,No,Bad,Above-7,M,A,No,Kinesthetic,Introvert,Medium,Low,Yes,Some,Neutral,HighSchool,Yes,Active,Insufficient,Positive,No,16,88,12,29
M,ind,Saudi Arabia,middlelevel,G-04,E,Science,S,Mother,Yes,Good,Under-7,M,E,Yes,Visual,Extrovert,Medium,High,Yes,Some,Positive,PhD,Yes,Moderate,Adequate,Positive,Yes,34,33,3,26
F,us,UK,preschool,G-07,D,IT,S,Guardian,Yes,Good,Under-7,M,B,Yes,Auditory,Extrovert,Low,Low,Yes,Many,Neutral,PhD,No,Inactive,Adequate,Neutral,Yes,71,15,11,13
M,us,UK,middlelevel,G-04,C,English,F,Guardian,Yes,Bad,Under-7,L,E,No,Auditory,Introvert,Medium,Medium,Yes,Some,Positive,HighSchool,No,Inactive,Adequate,Positive,No,18,36,8,43
F,fr,India,preschool,G-05,E,IT,S,Father,Yes,Good,Under-7,H,C,Yes,Visual,Introvert,Medium,High,No,None,Negative,Master,Yes,Inactive,Adequate,Positive,Yes,54,79,3,42
F,ind,India,middlelevel,G-04,A,IT,F,Mother,No,Bad,Under-7,M,A,Yes,Kinesthetic,Extrovert,High,High,Yes,Many,Positive,Bachelor,Yes,Moderate,Insufficient,Positive,No,70,44,1,24
F,saudi,UK,highlevel,G-05,E,Math,F,Guardian,Yes,Good,Above-7,H,C,Yes,Kinesthetic,Introvert,Low,Medium,Yes,Many,Negative,HighSchool,Yes,Inactive,Adequate,Negative,Yes,51,96,18,32
F,ind,China,lowerlevel,G-04,A,English,F,Mother,No,Good,Above-7,L,C,No,Visual,Extrovert,Low,Low,No,Many,Positive,Bachelor,No,Inactive,Insufficient,Positive,Yes,42,92,19,35
F,cn,India,middlelevel,G-07,D,English,S,Guardian,No,Bad,Above-7,M,B,No,Visual,Introvert,Low,Medium,No,Many,Negative,HighSchool,Yes,Inactive,Insufficient,Negative,Yes,29,9,12,5
F,cn,India,lowerlevel,G-07,C,Math,S,Guardian,Yes,Good,Above-7,H,D,No,Visual,Extrovert,Low,Medium,Yes,Many,Neutral,Bachelor,Yes,Inactive,Insufficient,Negative,Yes,88,63,14,31
M,fr,UK,preschool,G-04,B,IT,S,Father,No,Good,Under-7,L,A,Yes,Kinesthetic,Extrovert,Medium,Medium,Yes,Some,Positive,Bachelor,No,Inactive,Insufficient,Neutral,No,21,3,14,33
M,saudi,France,preschool,G-04,C,IT,S,Guardian,Yes,Bad,Under-7,H,A,No,Auditory,Introvert,Medium,Medium,Yes,None,Neutral,HighSchool,Yes,Active,Adequate,Positive,No,83,23,5,20
M,us,India,middlelevel,G-06,E,Math,S,Guardian,Yes,Bad,Under-7,H,A,No,Auditory,Extrovert,Low,Low,No,None,Negative,Bachelor,No,Moderate,Adequate,Neutral,No,6,67,17,41
F,ind,India,preschool,G-06,B,Math,F,Mother,No,Good,Above-7,L,B,Yes,Auditory,Introvert,High,Medium,No,Some,Positive,PhD,Yes,Moderate,Insufficient,Neutral,No,35,32,19,18
F,cn,China,lowerlevel,G-06,A,History,S,Mother,Yes,Bad,Above-7,L,A,Yes,Kinesthetic,Extrovert,Medium,Low,Yes,None,Neutral,Bachelor,Yes,Inactive,Adequate,Neutral,No,55,66,19,43
M,ind,France,lowerlevel,G-04,E,IT,S,Guardian,Yes,Bad,Above-7,H,B,Yes,Auditory,Extrovert,Low,High,No,Many,Negative,PhD,No,Inactive,Adequate,Negative,Yes,85,48,16,37
F,uk,France,preschool,G-05,A,IT,S,Father,Yes,Bad,Under-7,L,D,No,Visual,Introvert,Medium,Medium,No,Many,Neutral,HighSchool,No,Inactive,Adequate,Negative,Yes,54,99,1,22
M,ind,USA,middlelevel,G-04,E,History,F,Mother,No,Good,Under-7,L,E,No,Visual,Introvert,High,Low,Yes,Some,Positive,PhD,Yes,Inactive,Insufficient,Neutral,No,53,3,0,13
M,cn,China,highlevel,G-05,D,IT,F,Mother,Yes,Good,Above-7,H,E,No,Visual,Introvert,High,Low,Yes,Many,Negative,HighSchool,Yes,Active,Adequate,Neutral,Yes,45,2,16,43
M,saudi,USA,preschool,G-06,A,English,S,Father,Yes,Bad,Above-7,H,B,No,Kinesthetic,Introvert,High,Medium,Yes,Some,Neutral,PhD,No,Moderate,Insufficient,Positive,No,14,55,7,15
F,ind,France,preschool,G-04,D,IT,F,Guardian,No,Good,Above-7,L,E,Yes,Kinesthetic,Introvert,Medium,High,Yes,None,Neutral,Bachelor,No,Moderate,Adequate,Positive,Yes,75,98,1,3
M,us,China,preschool,G-04,A,IT,S,Father,No,Good,Under-7,L,D,Yes,Visual,Introvert,Medium,Low,No,Many,Negative,PhD,Yes,Active,Insufficient,Negative,No,66,83,20,34
F,us,France,preschool,G-05,D,Math,F,Mother,Yes,Bad,Under-7,H,B,No,Visual,Introvert,Low,High,Yes,None,Negative,Master,Yes,Active,Adequate,Negative,Yes,62,71,14,43
F,cn,France,middlelevel,G-04,E,IT,S,Mother,No,Bad,Under-7,M,D,Yes,Visual,Introvert,High,High,Yes,Some,Negative,PhD,No,Moderate,Adequate,Negative,No,84,11,12,43
M,ind,Saudi Arabia,lowerlevel,G-05,C,Math,S,Mother,Yes,Good,Under-7,L,D,No,Visual,Extrovert,High,High,No,Many,Neutral,Bachelor,Yes,Active,Insufficient,Neutral,Yes,29,11,4,39
F,fr,India,middlelevel,G-05,B,Math,F,Mother,Yes,Bad,Under-7,H,C,Yes,Visual,Extrovert,Low,High,No,None,Negative,Master,Yes,Moderate,Insufficient,Neutral,No,15,84,19,1
F,uk,UK,highlevel,G-06,C,Science,F,Guardian,No,Good,Under-7,H,A,No,Visual,Introvert,Medium,High,No,None,Negative,Bachelor,Yes,Active,Adequate,Positive,No,12,40,9,35
M,ind,China,middlelevel,G-04,C,IT,F,Father,No,Bad,Under-7,L,E,Yes,Kinesthetic,Extrovert,High,High,No,Some,Positive,PhD,Yes,Moderate,Adequate,Neutral,No,45,33,19,22
M,ind,UK,highlevel,G-05,D,English,S,Father,Yes,Bad,Under-7,L,B,Yes,Kinesthetic,Extrovert,Low,High,No,Some,Positive,HighSchool,Yes,Active,Insufficient,Positive,Yes,60,83,6,11
M,uk,France,highlevel,G-07,D,Science,F,Guardian,No,Bad,Under-7,M,B,No,Auditory,Introvert,High,Medium,Yes,None,Neutral,Bachelor,Yes,Active,Insufficient,Neutral,No,25,63,8,31
M,fr,India,preschool,G-07,C,Science,S,Father,No,Bad,Above-7,H,E,Yes,Kinesthetic,Introvert,Medium,Medium,No,Many,Negative,PhD,No,Active,Insufficient,Negative,Yes,82,71,11,40
M,fr,China,preschool,G-06,E,Math,F,Father,No,Bad,Above-7,L,C,Yes,Kinesthetic,Introvert,Low,Medium,No,Some,Neutral,PhD,No,Active,Insufficient,Neutral,Yes,81,76,10,6
F,uk,USA,lowerlevel,G-05,B,Math,F,Guardian,No,Bad,Under-7,L,D,Yes,Kinesthetic,Extrovert,High,Low,No,Many,Positive,HighSchool,Yes,Active,Insufficient,Negative,No,80,70,16,36
M,uk,USA,middlelevel,G-04,D,Science,F,Guardian,Yes,Good,Above-7,H,A,Yes,Visual,Extrovert,Medium,High,Yes,Some,Negative,Master,No,Moderate,Insufficient,Negative,Yes,94,35,16,44
M,fr,France,lowerlevel,G-06,C,History,S,Guardian,Yes,Bad,Above-7,L,E,No,Kinesthetic,Introvert,High,High,Yes,Many,Neutral,Bachelor,No,Inactive,Adequate,Positive,No,23,55,2,26
M,cn,USA,highlevel,G-05,D,English,F,Father,No,Good,Above-7,L,C,No,Visual,Extrovert,High,Medium,Yes,Some,Negative,Master,No,Moderate,Adequate,Neutral,No,82,0,6,28
M,saudi,China,preschool,G-05,B,Math,S,Father,Yes,Bad,Under-7,L,D,No,Visual,Introvert,Low,High,No,Many,Negative,Bachelor,No,Moderate,Insufficient,Positive,Yes,32,57,4,32
M,saudi,China,middlelevel,G-05,D,Math,S,Guardian,No,Good,Above-7,H,E,No,Visual,Extrovert,Low,High,No,Many,Positive,Master,No,Active,Adequate,Positive,No,8,98,13,25
M,cn,France,lowerlevel,G-04,D,Math,S,Guardian,No,Bad,Above-7,L,A,Yes,Auditory,Introvert,Medium,Low,No,Many,Negative,HighSchool,No,Active,Insufficient,Positive,No,39,32,13,37
M,saudi,France,preschool,G-07,E,Math,F,Father,No,Bad,Under-7,L,D,Yes,Kinesthetic,Introvert,Low,High,No,Many,Negative,PhD,Yes,Moderate,Insufficient,Neutral,Yes,65,12,7,4
M,cn,India,preschool,G-07,C,History,F,Mother,Yes,Bad,Above-7,L,A,Yes,Visual,Extrovert,Low,Medium,No,None,Neutral,HighSchool,Yes,Inactive,Insufficient,Neutral,Yes,35,27,8,22
M,us,China,lowerlevel,G-07,E,English,F,Father,Yes,Good,Above-7,M,D,No,Kinesthetic,Extrovert,High,Low,Yes,None,Neutral,Bachelor,No,Active,Insufficient,Negative,No,66,87,12,4
M,uk,Saudi Arabia,lowerlevel,G-07,C,IT,F,Father,No,Bad,Above-7,H,B,No,Kinesthetic,Introvert,Low,Medium,No,None,Negative,PhD,Yes,Moderate,Adequate,Positive,No,38,9,18,25
M,uk,China,middlelevel,G-05,D,Math,F,Father,Yes,Bad,Under-7,L,B,Yes,Visual,Introvert,High,Medium,No,Some,Negative,Master,No,Moderate,Insufficient,Negative,Yes,40,25,16,48
M,ind,India,lowerlevel,G-06,A,English,F,Guardian,No,Bad,Under-7,H,E,Yes,Kinesthetic,Extrovert,Low,Low,Yes,None,Positive,Master,No,Moderate,Insufficient,Negative,Yes,73,16,13,5
F,us,France,middlelevel,G-07,B,History,S,Mother,Yes,Bad,Above-7,L,C,Yes,Kinesthetic,Extrovert,Medium,Medium,No,Some,Negative,HighSchool,Yes,Active,Adequate,Neutral,No,96,19,1,19
M,us,China,lowerlevel,G-07,C,IT,F,Father,Yes,Bad,Under-7,L,A,No,Kinesthetic,Extrovert,High,Low,No,Some,Positive,Master,Yes,Moderate,Insufficient,Neutral,No,59,56,4,33
M,us,Saudi Arabia,preschool,G-04,C,Math,S,Father,No,Bad,Under-7,H,E,No,Auditory,Extrovert,Low,High,No,None,Negative,PhD,No,Inactive,Adequate,Negative,Yes,38,48,4,49
F,fr,France,lowerlevel,G-06,C,Math,F,Father,Yes,Bad,Under-7,H,B,Yes,Auditory,Extrovert,High,Medium,Yes,Some,Positive,PhD,Yes,Active,Adequate,Neutral,Yes,47,55,9,26
M,uk,France,highlevel,G-06,C,English,S,Mother,No,Good,Under-7,M,B,Yes,Auditory,Introvert,Medium,Low,Yes,None,Negative,HighSchool,Yes,Moderate,Adequate,Negative,Yes,83,29,8,4
M,uk,UK,highlevel,G-06,A,Math,F,Guardian,No,Good,Above-7,H,B,No,Auditory,Extrovert,High,High,Yes,Many,Neutral,PhD,No,Moderate,Insufficient,Negative,No,4,49,16,48
F,us,Saudi Arabia,preschool,G-07,B,Science,S,Father,Yes,Good,Under-7,L,A,No,Visual,Extrovert,Low,High,No,Some,Positive,PhD,No,Moderate,Adequate,Positive,No,83,39,0,47
F,saudi,China,middlelevel,G-04,E,History,S,Guardian,No,Good,Under-7,L,C,Yes,Kinesthetic,Extrovert,Medium,High,No,Many,Negative,Bachelor,No,Inactive,Adequate,Negative,No,88,50,8,27
F,ind,France,lowerlevel,G-07,A,History,F,Mother,No,Bad,Above-7,H,A,Yes,Auditory,Extrovert,Low,Medium,No,Many,Negative,HighSchool,Yes,Moderate,Insufficient,Positive,No,85,68,6,46
F,ind,UK,highlevel,G-06,B,Math,S,Father,Yes,Bad,Above-7,L,C,Yes,Visual,Extrovert,Low,High,No,None,Neutral,HighSchool,Yes,Moderate,Adequate,Positive,Yes,44,30,4,40
F,uk,USA,lowerlevel,G-05,D,History,S,Guardian,Yes,Bad,Above-7,L,E,Yes,Kinesthetic,Extrovert,Medium,Low,No,None,Positive,Bachelor,Yes,Inactive,Adequate,Neutral,No,90,33,20,47
F,uk,China,preschool,G-07,D,History,F,Father,Yes,Good,Under-7,M,C,No,Visual,Extrovert,High,High,Yes,Many,Positive,Bachelor,No,Active,Insufficient,Negative,No,3,16,6,20
M,us,India,middlelevel,G-04,B,IT,F,Mother,No,Bad,Above-7,H,E,No,Kinesthetic,Extrovert,High,High,No,Some,Neutral,Master,No,Active,Adequate,Neutral,No,76,35,20,17
M,cn,UK,middlelevel,G-07,B,History,S,Mother,Yes,Good,Above-7,M,D,Yes,Kinesthetic,Extrovert,Low,High,Yes,Some,Neutral,PhD,Yes,Active,Insufficient,Positive,No,50,63,18,11
F,fr,UK,lowerlevel,G-06,A,History,F,Mother,No,Bad,Above-7,M,D,Yes,Visual,Introvert,Medium,High,No,Some,Positive,Master,No,Active,Insufficient,Negative,Yes,44,27,20,23
F,uk,Saudi Arabia,middlelevel,G-04,B,Science,S,Father,Yes,Bad,Above-7,H,D,No,Kinesthetic,Extrovert,Medium,Medium,Yes,Some,Negative,Bachelor,No,Active,Insufficient,Positive,No,24,87,8,34
